var,source_dataset,n_total,n_observed,pct_observed,n_positive,n_zero,status,drop_reason,included_in_stable_set,analysis_role,notes
ACARDSYS,ASDB,6166,3736,0.605903340901719,815,2921,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ACLABHOS,ASDB,6166,3736,0.605903340901719,1521,2215,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ACOPCT,ASDB,6166,858,0.139150178397665,55,87,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
ACUSYS,ASDB,6166,3736,0.605903340901719,299,3437,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTCSYS,ASDB,6166,3736,0.605903340901719,985,2751,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTESYS,ASDB,6166,3736,0.605903340901719,873,2863,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ADTRTSYS,ASDB,6166,3736,0.605903340901719,829,2907,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AIDSSSYS,ASDB,6166,3736,0.605903340901719,810,2926,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AIRBSYS,ASDB,6166,3736,0.605903340901719,548,3188,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCHSYS,ASDB,6166,3736,0.605903340901719,638,3098,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCOPSYS,ASDB,6166,3736,0.605903340901719,803,2933,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCPDSYS,ASDB,6166,3736,0.605903340901719,317,3419,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALCPRSYS,ASDB,6166,3736,0.605903340901719,438,3298,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ALZSYS,ASDB,6166,3736,0.605903340901719,558,3178,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBASYS,ASDB,6166,3736,0.605903340901719,525,3211,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBSSYS,ASDB,6166,3736,0.605903340901719,832,2904,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AMBSYS,ASDB,6166,3736,0.605903340901719,586,3150,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
APED,ASDB,6166,2501,0.405611417450535,596,1905,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ARTHCSYS,ASDB,6166,3736,0.605903340901719,551,3185,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ASSTLSYS,ASDB,6166,3736,0.605903340901719,294,3442,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
AUXSYS,ASDB,6166,3736,0.605903340901719,680,3056,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BDPEDCP,ASDB,6166,375,0.060817385663315,203,172,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDMA,ASDB,6166,375,0.060817385663315,83,292,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDMD,ASDB,6166,375,0.060817385663315,24,351,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BDPEDTM,ASDB,6166,375,0.060817385663315,224,151,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BEAMSYS,ASDB,6166,3736,0.605903340901719,764,2972,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BIOSYS,ASDB,6166,3736,0.605903340901719,205,3531,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BLDOSYS,ASDB,6166,3736,0.605903340901719,315,3421,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BNDPCT,ASDB,6166,545,0.0883879338306844,203,256,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
BRADHOS,ASDB,6166,3736,0.605903340901719,1769,1967,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BRNSYS,ASDB,6166,3736,0.605903340901719,328,3408,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BROOMSYS,ASDB,6166,3736,0.605903340901719,784,2952,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
BWHTSYS,ASDB,6166,3736,0.605903340901719,962,2774,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CAOSSYS,ASDB,6166,3736,0.605903340901719,740,2996,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CBSACODE,ASDB,6166,6166,1.0,0,0,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
CBSANAME,ASDB,6166,5070,0.822251054168018,0,0,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
CBSATYPE,ASDB,6166,6166,1.0,0,0,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
CHABSYS,ASDB,6166,3736,0.605903340901719,796,2940,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CHAPSYS,ASDB,6166,3736,0.605903340901719,703,3033,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CHCARSYS,ASDB,6166,3736,0.605903340901719,799,2937,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CHISYS,ASDB,6166,3736,0.605903340901719,313,3423,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CHTHSYS,ASDB,6166,3736,0.605903340901719,830,2906,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CICBD,ASDB,6166,3736,0.605903340901719,2,3019,dropped,low_pos;,False,masking; similarity; module_scoring,Screened out during variable filtering.
CICHOS,ASDB,6166,3736,0.605903340901719,897,2839,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CLSCIC,ASDB,6166,134,0.0217320791436912,134,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
CMNGTSYS,ASDB,6166,3736,0.605903340901719,617,3119,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
COFVSYS,ASDB,6166,3736,0.605903340901719,969,2767,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
COMPSYS,ASDB,6166,3736,0.605903340901719,702,3034,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
COTYPED,ASDB,6166,235,0.0381122283490107,40,195,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
COUTRSYS,ASDB,6166,3736,0.605903340901719,761,2975,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CPHOSYS,ASDB,6166,3736,0.605903340901719,98,3638,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CPPCT,ASDB,6166,2850,0.462212131041194,89,2496,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CPREVSYS,ASDB,6166,3736,0.605903340901719,819,2917,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CTFTE,ASDB,6166,2748,0.445669802140772,210,995,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CTSCNHOS,ASDB,6166,3736,0.605903340901719,3124,612,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
CWELLSYS,ASDB,6166,3736,0.605903340901719,784,2952,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
DCTOT,ASDB,6166,6166,1.0,3,1,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
DCTOTH,ASDB,6166,323,0.0523840415180019,0,1,dropped,low_obs;low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
DENTSSYS,ASDB,6166,3736,0.605903340901719,631,3105,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
DPPSYS,ASDB,6166,3736,0.605903340901719,903,2833,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
DRADFHOS,ASDB,6166,3736,0.605903340901719,2161,1575,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EBCTHOS,ASDB,6166,3736,0.605903340901719,298,3438,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EDMCHG,ASDB,6166,3015,0.488971780733052,243,2772,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EFTLAB,ASDB,6166,6166,1.0,2909,3257,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EFTRAD,ASDB,6166,6166,1.0,2909,3257,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EICUHOS,ASDB,6166,3736,0.605903340901719,536,3200,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EMDEPHOS,ASDB,6166,3736,0.605903340901719,3066,670,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EMSSSYS,ASDB,6166,3736,0.605903340901719,637,3099,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENBSYS,ASDB,6166,3736,0.605903340901719,710,3026,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENDOAHOS,ASDB,6166,3736,0.605903340901719,1097,2639,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENDOCHOS,ASDB,6166,3736,0.605903340901719,2509,1227,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENDOEHOS,ASDB,6166,3736,0.605903340901719,1068,2668,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENDORHOS,ASDB,6166,3736,0.605903340901719,1581,2155,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENDOUHOS,ASDB,6166,3736,0.605903340901719,1461,2275,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ENRSYS,ASDB,6166,3736,0.605903340901719,726,3010,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EPTLAB,ASDB,6166,6166,1.0,2907,3259,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EPTRAD,ASDB,6166,6166,1.0,2907,3259,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
EQMODSYS,ASDB,6166,3736,0.605903340901719,24,3712,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ESWLSYS,ASDB,6166,3736,0.605903340901719,711,3025,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FFDMSYS,ASDB,6166,3736,0.605903340901719,753,2983,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FITCSYS,ASDB,6166,3736,0.605903340901719,751,2985,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FOUNDSYS,ASDB,6166,3736,0.605903340901719,137,3599,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FRTCSYS,ASDB,6166,3736,0.605903340901719,567,3169,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FSERSYS,ASDB,6166,3736,0.605903340901719,459,3277,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTECIC,ASDB,6166,1178,0.19104768083036,45,852,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
FTECLAB,ASDB,6166,6166,1.0,254,1107,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTECRAD,ASDB,6166,6166,1.0,151,1009,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTED,ASDB,6166,3117,0.505514109633474,210,1376,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTELAB,ASDB,6166,3117,0.505514109633474,113,594,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTERAD,ASDB,6166,3117,0.505514109633474,60,491,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTLAB,ASDB,6166,6166,1.0,355,1160,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
FTRAD,ASDB,6166,6166,1.0,253,1069,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
GENSYS,ASDB,6166,3736,0.605903340901719,694,3042,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
GERSVSYS,ASDB,6166,3736,0.605903340901719,879,2857,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
GNTCSYS,ASDB,6166,3736,0.605903340901719,891,2845,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
GPWWSYS,ASDB,6166,3736,0.605903340901719,42,3694,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HARTSYS,ASDB,6166,3736,0.605903340901719,501,3235,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HEMOSYS,ASDB,6166,3736,0.605903340901719,680,3056,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HLINSYS,ASDB,6166,479,0.077684073953941,479,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
HLTHCSYS,ASDB,6166,3736,0.605903340901719,822,2914,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HLTHFSYS,ASDB,6166,3736,0.605903340901719,840,2896,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HLTHSSYS,ASDB,6166,3736,0.605903340901719,803,2933,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HLTRSYS,ASDB,6166,3736,0.605903340901719,905,2831,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HOMEHSYS,ASDB,6166,3736,0.605903340901719,1165,2571,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HOMEPSYS,ASDB,6166,3736,0.605903340901719,292,3444,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
HOSPBD,ASDB,6166,6166,1.0,0,2,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
HOSPCSYS,ASDB,6166,3736,0.605903340901719,991,2745,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ICARSYS,ASDB,6166,3736,0.605903340901719,725,3011,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ICFSYS,ASDB,6166,3736,0.605903340901719,392,3344,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ICLABHOS,ASDB,6166,3736,0.605903340901719,1404,2332,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ICUCHG,ASDB,6166,3132,0.507946805060006,142,2990,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IGRTSYS,ASDB,6166,3736,0.605903340901719,838,2898,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IMPRSYS,ASDB,6166,3736,0.605903340901719,853,2883,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IMRIHOS,ASDB,6166,3736,0.605903340901719,236,3500,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IMRTSYS,ASDB,6166,3736,0.605903340901719,832,2904,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IPALSYS,ASDB,6166,3736,0.605903340901719,426,3310,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
IPASYS,ASDB,6166,3736,0.605903340901719,206,3530,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ISMSYS,ASDB,6166,3736,0.605903340901719,714,3022,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
JNTCTR,ASDB,6166,863,0.139961076873175,239,624,dropped,low_obs;,False,masking; similarity; module_scoring,Screened out during variable filtering.
KDNYSYS,ASDB,6166,3736,0.605903340901719,609,3127,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LABFTE,ASDB,6166,2613,0.423775543301979,264,1808,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LBEDLA,ASDB,6166,314,0.0509244242620824,0,0,dropped,low_obs;low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
LBEDSA,ASDB,6166,3614,0.586117418099254,0,14,dropped,low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
LGRPSYS,ASDB,6166,509,0.0825494648070062,509,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
LINGSYS,ASDB,6166,3736,0.605903340901719,599,3137,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LIVRSYS,ASDB,6166,3736,0.605903340901719,445,3291,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LOCTRCLI,ASDB,6166,2962,0.480376256892637,1045,1917,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LOCTRCNA,ASDB,6166,2962,0.480376256892637,1252,1710,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LOCTRNI,ASDB,6166,2962,0.480376256892637,566,2396,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LOCTRPSN,ASDB,6166,2962,0.480376256892637,1900,1062,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
LUNGSYS,ASDB,6166,3736,0.605903340901719,306,3430,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MAMMSSYS,ASDB,6166,3736,0.605903340901719,743,2993,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEALSSYS,ASDB,6166,3736,0.605903340901719,292,3444,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEDADN,ASDB,6166,126,0.0204346415828738,126,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
MEDHME,ASDB,6166,3113,0.504865390853065,616,2497,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEDHSE,ASDB,6166,3048,0.494323710671424,1238,1810,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEDOPHOS,ASDB,6166,3736,0.605903340901719,730,3006,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEDSUBHOS,ASDB,6166,3736,0.605903340901719,619,3117,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MEGSYS,ASDB,6166,3736,0.605903340901719,267,3469,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MMCSYS,ASDB,6166,392,0.0635744404800519,392,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
MOHSSYS,ASDB,6166,3736,0.605903340901719,776,2960,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MRIHOS,ASDB,6166,3736,0.605903340901719,2602,1134,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MSCTGHOS,ASDB,6166,3736,0.605903340901719,2393,1343,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MSCTHOS,ASDB,6166,3736,0.605903340901719,1751,1985,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MSICBD,ASDB,6166,3736,0.605903340901719,10,1563,dropped,low_pos;,False,masking; similarity; module_scoring,Screened out during variable filtering.
MSICHOS,ASDB,6166,3736,0.605903340901719,2253,1483,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
MSOSYS,ASDB,6166,3736,0.605903340901719,100,3636,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
NEROSYS,ASDB,6166,3736,0.605903340901719,801,2935,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
NICSYS,ASDB,6166,3736,0.605903340901719,870,2866,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
NINTSYS,ASDB,6166,3736,0.605903340901719,698,3038,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
NUTRPSYS,ASDB,6166,3736,0.605903340901719,662,3074,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OBSYS,ASDB,6166,3736,0.605903340901719,857,2879,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OCCHSSYS,ASDB,6166,3736,0.605903340901719,829,2907,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ONCOLSYS,ASDB,6166,3736,0.605903340901719,851,2885,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OPCENSYS,ASDB,6166,3736,0.605903340901719,887,2849,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OPHOSSYS,ASDB,6166,3736,0.605903340901719,666,3070,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OPHOSYS,ASDB,6166,3736,0.605903340901719,224,3512,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OPSRGSYS,ASDB,6166,3736,0.605903340901719,635,3101,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ORPMSYS,ASDB,6166,3736,0.605903340901719,701,3035,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
ORTOSYS,ASDB,6166,3736,0.605903340901719,718,3018,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OSMGSYS,ASDB,6166,284,0.0460590334090172,284,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTBONSYS,ASDB,6166,3736,0.605903340901719,545,3191,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHCRSYS,ASDB,6166,3736,0.605903340901719,248,3488,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHIC,ASDB,6166,290,0.0470321115796302,0,0,dropped,low_obs;low_pos;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHICBD,ASDB,6166,3736,0.605903340901719,1,3375,dropped,low_pos;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHIMSYS,ASDB,6166,358,0.058060330846578,358,0,dropped,low_obs;low_zero;,False,masking; similarity; module_scoring,Screened out during variable filtering.
OTHISYS,ASDB,6166,3736,0.605903340901719,566,3170,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHLTSYS,ASDB,6166,3736,0.605903340901719,237,3499,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTHTSYS,ASDB,6166,3736,0.605903340901719,746,2990,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
OTOTHSYS,ASDB,6166,3736,0.605903340901719,488,3248,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PAINSYS,ASDB,6166,3736,0.605903340901719,817,2919,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PALSYS,ASDB,6166,3736,0.605903340901719,829,2907,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PATEDHOS,ASDB,6166,3736,0.605903340901719,2015,1721,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PATRPSYS,ASDB,6166,3736,0.605903340901719,646,3090,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCARDSYS,ASDB,6166,3736,0.605903340901719,652,3084,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
PCASYS,ASDB,6166,3736,0.605903340901719,632,3104,kept,,True,masking; similarity; module_scoring; stable_set,Retained in observed-data structural workflow.
