"var","source","n_total","n_observed","pct_observed","n_positive","n_zero","keep_obs","keep_pos","keep_zero","keep_all","status","drop_reason"
"ACARDSYS","ASDB",6166,3736,0.605903340901719,815,2921,TRUE,TRUE,TRUE,TRUE,"kept",""
"ACLABHOS","ASDB",6166,3736,0.605903340901719,1521,2215,TRUE,TRUE,TRUE,TRUE,"kept",""
"ACOPCT","ASDB",6166,858,0.139150178397665,55,87,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"ACUSYS","ASDB",6166,3736,0.605903340901719,299,3437,TRUE,TRUE,TRUE,TRUE,"kept",""
"ADTCSYS","ASDB",6166,3736,0.605903340901719,985,2751,TRUE,TRUE,TRUE,TRUE,"kept",""
"ADTESYS","ASDB",6166,3736,0.605903340901719,873,2863,TRUE,TRUE,TRUE,TRUE,"kept",""
"ADTRTSYS","ASDB",6166,3736,0.605903340901719,829,2907,TRUE,TRUE,TRUE,TRUE,"kept",""
"AIDSSSYS","ASDB",6166,3736,0.605903340901719,810,2926,TRUE,TRUE,TRUE,TRUE,"kept",""
"AIRBSYS","ASDB",6166,3736,0.605903340901719,548,3188,TRUE,TRUE,TRUE,TRUE,"kept",""
"ALCHSYS","ASDB",6166,3736,0.605903340901719,638,3098,TRUE,TRUE,TRUE,TRUE,"kept",""
"ALCOPSYS","ASDB",6166,3736,0.605903340901719,803,2933,TRUE,TRUE,TRUE,TRUE,"kept",""
"ALCPDSYS","ASDB",6166,3736,0.605903340901719,317,3419,TRUE,TRUE,TRUE,TRUE,"kept",""
"ALCPRSYS","ASDB",6166,3736,0.605903340901719,438,3298,TRUE,TRUE,TRUE,TRUE,"kept",""
"ALZSYS","ASDB",6166,3736,0.605903340901719,558,3178,TRUE,TRUE,TRUE,TRUE,"kept",""
"AMBASYS","ASDB",6166,3736,0.605903340901719,525,3211,TRUE,TRUE,TRUE,TRUE,"kept",""
"AMBSSYS","ASDB",6166,3736,0.605903340901719,832,2904,TRUE,TRUE,TRUE,TRUE,"kept",""
"AMBSYS","ASDB",6166,3736,0.605903340901719,586,3150,TRUE,TRUE,TRUE,TRUE,"kept",""
"APED","ASDB",6166,2501,0.405611417450535,596,1905,TRUE,TRUE,TRUE,TRUE,"kept",""
"ARTHCSYS","ASDB",6166,3736,0.605903340901719,551,3185,TRUE,TRUE,TRUE,TRUE,"kept",""
"ASSTLSYS","ASDB",6166,3736,0.605903340901719,294,3442,TRUE,TRUE,TRUE,TRUE,"kept",""
"AUXSYS","ASDB",6166,3736,0.605903340901719,680,3056,TRUE,TRUE,TRUE,TRUE,"kept",""
"BDPEDCP","ASDB",6166,375,0.060817385663315,203,172,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"BDPEDMA","ASDB",6166,375,0.060817385663315,83,292,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"BDPEDMD","ASDB",6166,375,0.060817385663315,24,351,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"BDPEDTM","ASDB",6166,375,0.060817385663315,224,151,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"BEAMSYS","ASDB",6166,3736,0.605903340901719,764,2972,TRUE,TRUE,TRUE,TRUE,"kept",""
"BIOSYS","ASDB",6166,3736,0.605903340901719,205,3531,TRUE,TRUE,TRUE,TRUE,"kept",""
"BLDOSYS","ASDB",6166,3736,0.605903340901719,315,3421,TRUE,TRUE,TRUE,TRUE,"kept",""
"BNDPCT","ASDB",6166,545,0.0883879338306844,203,256,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"BRADHOS","ASDB",6166,3736,0.605903340901719,1769,1967,TRUE,TRUE,TRUE,TRUE,"kept",""
"BRNSYS","ASDB",6166,3736,0.605903340901719,328,3408,TRUE,TRUE,TRUE,TRUE,"kept",""
"BROOMSYS","ASDB",6166,3736,0.605903340901719,784,2952,TRUE,TRUE,TRUE,TRUE,"kept",""
"BWHTSYS","ASDB",6166,3736,0.605903340901719,962,2774,TRUE,TRUE,TRUE,TRUE,"kept",""
"CAOSSYS","ASDB",6166,3736,0.605903340901719,740,2996,TRUE,TRUE,TRUE,TRUE,"kept",""
"CBSACODE","ASDB",6166,6166,1,0,0,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"CBSANAME","ASDB",6166,5070,0.822251054168018,0,0,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"CBSATYPE","ASDB",6166,6166,1,0,0,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"CHABSYS","ASDB",6166,3736,0.605903340901719,796,2940,TRUE,TRUE,TRUE,TRUE,"kept",""
"CHAPSYS","ASDB",6166,3736,0.605903340901719,703,3033,TRUE,TRUE,TRUE,TRUE,"kept",""
"CHCARSYS","ASDB",6166,3736,0.605903340901719,799,2937,TRUE,TRUE,TRUE,TRUE,"kept",""
"CHISYS","ASDB",6166,3736,0.605903340901719,313,3423,TRUE,TRUE,TRUE,TRUE,"kept",""
"CHTHSYS","ASDB",6166,3736,0.605903340901719,830,2906,TRUE,TRUE,TRUE,TRUE,"kept",""
"CICBD","ASDB",6166,3736,0.605903340901719,2,3019,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"CICHOS","ASDB",6166,3736,0.605903340901719,897,2839,TRUE,TRUE,TRUE,TRUE,"kept",""
"CLSCIC","ASDB",6166,134,0.0217320791436912,134,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"CMNGTSYS","ASDB",6166,3736,0.605903340901719,617,3119,TRUE,TRUE,TRUE,TRUE,"kept",""
"COFVSYS","ASDB",6166,3736,0.605903340901719,969,2767,TRUE,TRUE,TRUE,TRUE,"kept",""
"COMPSYS","ASDB",6166,3736,0.605903340901719,702,3034,TRUE,TRUE,TRUE,TRUE,"kept",""
"COTYPED","ASDB",6166,235,0.0381122283490107,40,195,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"COUTRSYS","ASDB",6166,3736,0.605903340901719,761,2975,TRUE,TRUE,TRUE,TRUE,"kept",""
"CPHOSYS","ASDB",6166,3736,0.605903340901719,98,3638,TRUE,TRUE,TRUE,TRUE,"kept",""
"CPPCT","ASDB",6166,2850,0.462212131041194,89,2496,TRUE,TRUE,TRUE,TRUE,"kept",""
"CPREVSYS","ASDB",6166,3736,0.605903340901719,819,2917,TRUE,TRUE,TRUE,TRUE,"kept",""
"CTFTE","ASDB",6166,2748,0.445669802140772,210,995,TRUE,TRUE,TRUE,TRUE,"kept",""
"CTSCNHOS","ASDB",6166,3736,0.605903340901719,3124,612,TRUE,TRUE,TRUE,TRUE,"kept",""
"CWELLSYS","ASDB",6166,3736,0.605903340901719,784,2952,TRUE,TRUE,TRUE,TRUE,"kept",""
"DCTOT","ASDB",6166,6166,1,3,1,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"DCTOTH","ASDB",6166,323,0.0523840415180019,0,1,FALSE,FALSE,FALSE,FALSE,"dropped","low_obs;low_pos;low_zero;"
"DENTSSYS","ASDB",6166,3736,0.605903340901719,631,3105,TRUE,TRUE,TRUE,TRUE,"kept",""
"DPPSYS","ASDB",6166,3736,0.605903340901719,903,2833,TRUE,TRUE,TRUE,TRUE,"kept",""
"DRADFHOS","ASDB",6166,3736,0.605903340901719,2161,1575,TRUE,TRUE,TRUE,TRUE,"kept",""
"EBCTHOS","ASDB",6166,3736,0.605903340901719,298,3438,TRUE,TRUE,TRUE,TRUE,"kept",""
"EDMCHG","ASDB",6166,3015,0.488971780733052,243,2772,TRUE,TRUE,TRUE,TRUE,"kept",""
"EFTLAB","ASDB",6166,6166,1,2909,3257,TRUE,TRUE,TRUE,TRUE,"kept",""
"EFTRAD","ASDB",6166,6166,1,2909,3257,TRUE,TRUE,TRUE,TRUE,"kept",""
"EICUHOS","ASDB",6166,3736,0.605903340901719,536,3200,TRUE,TRUE,TRUE,TRUE,"kept",""
"EMDEPHOS","ASDB",6166,3736,0.605903340901719,3066,670,TRUE,TRUE,TRUE,TRUE,"kept",""
"EMSSSYS","ASDB",6166,3736,0.605903340901719,637,3099,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENBSYS","ASDB",6166,3736,0.605903340901719,710,3026,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDOAHOS","ASDB",6166,3736,0.605903340901719,1097,2639,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDOCHOS","ASDB",6166,3736,0.605903340901719,2509,1227,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDOEHOS","ASDB",6166,3736,0.605903340901719,1068,2668,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDORHOS","ASDB",6166,3736,0.605903340901719,1581,2155,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENDOUHOS","ASDB",6166,3736,0.605903340901719,1461,2275,TRUE,TRUE,TRUE,TRUE,"kept",""
"ENRSYS","ASDB",6166,3736,0.605903340901719,726,3010,TRUE,TRUE,TRUE,TRUE,"kept",""
"EPTLAB","ASDB",6166,6166,1,2907,3259,TRUE,TRUE,TRUE,TRUE,"kept",""
"EPTRAD","ASDB",6166,6166,1,2907,3259,TRUE,TRUE,TRUE,TRUE,"kept",""
"EQMODSYS","ASDB",6166,3736,0.605903340901719,24,3712,TRUE,TRUE,TRUE,TRUE,"kept",""
"ESWLSYS","ASDB",6166,3736,0.605903340901719,711,3025,TRUE,TRUE,TRUE,TRUE,"kept",""
"FFDMSYS","ASDB",6166,3736,0.605903340901719,753,2983,TRUE,TRUE,TRUE,TRUE,"kept",""
"FITCSYS","ASDB",6166,3736,0.605903340901719,751,2985,TRUE,TRUE,TRUE,TRUE,"kept",""
"FOUNDSYS","ASDB",6166,3736,0.605903340901719,137,3599,TRUE,TRUE,TRUE,TRUE,"kept",""
"FRTCSYS","ASDB",6166,3736,0.605903340901719,567,3169,TRUE,TRUE,TRUE,TRUE,"kept",""
"FSERSYS","ASDB",6166,3736,0.605903340901719,459,3277,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTECIC","ASDB",6166,1178,0.19104768083036,45,852,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"FTECLAB","ASDB",6166,6166,1,254,1107,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTECRAD","ASDB",6166,6166,1,151,1009,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTED","ASDB",6166,3117,0.505514109633474,210,1376,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTELAB","ASDB",6166,3117,0.505514109633474,113,594,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTERAD","ASDB",6166,3117,0.505514109633474,60,491,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTLAB","ASDB",6166,6166,1,355,1160,TRUE,TRUE,TRUE,TRUE,"kept",""
"FTRAD","ASDB",6166,6166,1,253,1069,TRUE,TRUE,TRUE,TRUE,"kept",""
"GENSYS","ASDB",6166,3736,0.605903340901719,694,3042,TRUE,TRUE,TRUE,TRUE,"kept",""
"GERSVSYS","ASDB",6166,3736,0.605903340901719,879,2857,TRUE,TRUE,TRUE,TRUE,"kept",""
"GNTCSYS","ASDB",6166,3736,0.605903340901719,891,2845,TRUE,TRUE,TRUE,TRUE,"kept",""
"GPWWSYS","ASDB",6166,3736,0.605903340901719,42,3694,TRUE,TRUE,TRUE,TRUE,"kept",""
"HARTSYS","ASDB",6166,3736,0.605903340901719,501,3235,TRUE,TRUE,TRUE,TRUE,"kept",""
"HEMOSYS","ASDB",6166,3736,0.605903340901719,680,3056,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLINSYS","ASDB",6166,479,0.077684073953941,479,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"HLTHCSYS","ASDB",6166,3736,0.605903340901719,822,2914,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTHFSYS","ASDB",6166,3736,0.605903340901719,840,2896,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTHSSYS","ASDB",6166,3736,0.605903340901719,803,2933,TRUE,TRUE,TRUE,TRUE,"kept",""
"HLTRSYS","ASDB",6166,3736,0.605903340901719,905,2831,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOMEHSYS","ASDB",6166,3736,0.605903340901719,1165,2571,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOMEPSYS","ASDB",6166,3736,0.605903340901719,292,3444,TRUE,TRUE,TRUE,TRUE,"kept",""
"HOSPBD","ASDB",6166,6166,1,0,2,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"HOSPCSYS","ASDB",6166,3736,0.605903340901719,991,2745,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICARSYS","ASDB",6166,3736,0.605903340901719,725,3011,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICFSYS","ASDB",6166,3736,0.605903340901719,392,3344,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICLABHOS","ASDB",6166,3736,0.605903340901719,1404,2332,TRUE,TRUE,TRUE,TRUE,"kept",""
"ICUCHG","ASDB",6166,3132,0.507946805060006,142,2990,TRUE,TRUE,TRUE,TRUE,"kept",""
"IGRTSYS","ASDB",6166,3736,0.605903340901719,838,2898,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMPRSYS","ASDB",6166,3736,0.605903340901719,853,2883,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMRIHOS","ASDB",6166,3736,0.605903340901719,236,3500,TRUE,TRUE,TRUE,TRUE,"kept",""
"IMRTSYS","ASDB",6166,3736,0.605903340901719,832,2904,TRUE,TRUE,TRUE,TRUE,"kept",""
"IPALSYS","ASDB",6166,3736,0.605903340901719,426,3310,TRUE,TRUE,TRUE,TRUE,"kept",""
"IPASYS","ASDB",6166,3736,0.605903340901719,206,3530,TRUE,TRUE,TRUE,TRUE,"kept",""
"ISMSYS","ASDB",6166,3736,0.605903340901719,714,3022,TRUE,TRUE,TRUE,TRUE,"kept",""
"JNTCTR","ASDB",6166,863,0.139961076873175,239,624,FALSE,TRUE,TRUE,FALSE,"dropped","low_obs;"
"KDNYSYS","ASDB",6166,3736,0.605903340901719,609,3127,TRUE,TRUE,TRUE,TRUE,"kept",""
"LABFTE","ASDB",6166,2613,0.423775543301979,264,1808,TRUE,TRUE,TRUE,TRUE,"kept",""
"LBEDLA","ASDB",6166,314,0.0509244242620824,0,0,FALSE,FALSE,FALSE,FALSE,"dropped","low_obs;low_pos;low_zero;"
"LBEDSA","ASDB",6166,3614,0.586117418099254,0,14,TRUE,FALSE,FALSE,FALSE,"dropped","low_pos;low_zero;"
"LGRPSYS","ASDB",6166,509,0.0825494648070062,509,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"LINGSYS","ASDB",6166,3736,0.605903340901719,599,3137,TRUE,TRUE,TRUE,TRUE,"kept",""
"LIVRSYS","ASDB",6166,3736,0.605903340901719,445,3291,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRCLI","ASDB",6166,2962,0.480376256892637,1045,1917,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRCNA","ASDB",6166,2962,0.480376256892637,1252,1710,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRNI","ASDB",6166,2962,0.480376256892637,566,2396,TRUE,TRUE,TRUE,TRUE,"kept",""
"LOCTRPSN","ASDB",6166,2962,0.480376256892637,1900,1062,TRUE,TRUE,TRUE,TRUE,"kept",""
"LUNGSYS","ASDB",6166,3736,0.605903340901719,306,3430,TRUE,TRUE,TRUE,TRUE,"kept",""
"MAMMSSYS","ASDB",6166,3736,0.605903340901719,743,2993,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEALSSYS","ASDB",6166,3736,0.605903340901719,292,3444,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDADN","ASDB",6166,126,0.0204346415828738,126,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"MEDHME","ASDB",6166,3113,0.504865390853065,616,2497,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDHSE","ASDB",6166,3048,0.494323710671424,1238,1810,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDOPHOS","ASDB",6166,3736,0.605903340901719,730,3006,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEDSUBHOS","ASDB",6166,3736,0.605903340901719,619,3117,TRUE,TRUE,TRUE,TRUE,"kept",""
"MEGSYS","ASDB",6166,3736,0.605903340901719,267,3469,TRUE,TRUE,TRUE,TRUE,"kept",""
"MMCSYS","ASDB",6166,392,0.0635744404800519,392,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"MOHSSYS","ASDB",6166,3736,0.605903340901719,776,2960,TRUE,TRUE,TRUE,TRUE,"kept",""
"MRIHOS","ASDB",6166,3736,0.605903340901719,2602,1134,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSCTGHOS","ASDB",6166,3736,0.605903340901719,2393,1343,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSCTHOS","ASDB",6166,3736,0.605903340901719,1751,1985,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSICBD","ASDB",6166,3736,0.605903340901719,10,1563,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"MSICHOS","ASDB",6166,3736,0.605903340901719,2253,1483,TRUE,TRUE,TRUE,TRUE,"kept",""
"MSOSYS","ASDB",6166,3736,0.605903340901719,100,3636,TRUE,TRUE,TRUE,TRUE,"kept",""
"NEROSYS","ASDB",6166,3736,0.605903340901719,801,2935,TRUE,TRUE,TRUE,TRUE,"kept",""
"NICSYS","ASDB",6166,3736,0.605903340901719,870,2866,TRUE,TRUE,TRUE,TRUE,"kept",""
"NINTSYS","ASDB",6166,3736,0.605903340901719,698,3038,TRUE,TRUE,TRUE,TRUE,"kept",""
"NUTRPSYS","ASDB",6166,3736,0.605903340901719,662,3074,TRUE,TRUE,TRUE,TRUE,"kept",""
"OBSYS","ASDB",6166,3736,0.605903340901719,857,2879,TRUE,TRUE,TRUE,TRUE,"kept",""
"OCCHSSYS","ASDB",6166,3736,0.605903340901719,829,2907,TRUE,TRUE,TRUE,TRUE,"kept",""
"ONCOLSYS","ASDB",6166,3736,0.605903340901719,851,2885,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPCENSYS","ASDB",6166,3736,0.605903340901719,887,2849,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPHOSSYS","ASDB",6166,3736,0.605903340901719,666,3070,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPHOSYS","ASDB",6166,3736,0.605903340901719,224,3512,TRUE,TRUE,TRUE,TRUE,"kept",""
"OPSRGSYS","ASDB",6166,3736,0.605903340901719,635,3101,TRUE,TRUE,TRUE,TRUE,"kept",""
"ORPMSYS","ASDB",6166,3736,0.605903340901719,701,3035,TRUE,TRUE,TRUE,TRUE,"kept",""
"ORTOSYS","ASDB",6166,3736,0.605903340901719,718,3018,TRUE,TRUE,TRUE,TRUE,"kept",""
"OSMGSYS","ASDB",6166,284,0.0460590334090172,284,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"OTBONSYS","ASDB",6166,3736,0.605903340901719,545,3191,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHCRSYS","ASDB",6166,3736,0.605903340901719,248,3488,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHIC","ASDB",6166,290,0.0470321115796302,0,0,FALSE,FALSE,FALSE,FALSE,"dropped","low_obs;low_pos;low_zero;"
"OTHICBD","ASDB",6166,3736,0.605903340901719,1,3375,TRUE,FALSE,TRUE,FALSE,"dropped","low_pos;"
"OTHIMSYS","ASDB",6166,358,0.058060330846578,358,0,FALSE,TRUE,FALSE,FALSE,"dropped","low_obs;low_zero;"
"OTHISYS","ASDB",6166,3736,0.605903340901719,566,3170,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHLTSYS","ASDB",6166,3736,0.605903340901719,237,3499,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTHTSYS","ASDB",6166,3736,0.605903340901719,746,2990,TRUE,TRUE,TRUE,TRUE,"kept",""
"OTOTHSYS","ASDB",6166,3736,0.605903340901719,488,3248,TRUE,TRUE,TRUE,TRUE,"kept",""
"PAINSYS","ASDB",6166,3736,0.605903340901719,817,2919,TRUE,TRUE,TRUE,TRUE,"kept",""
